"hometown","family_name_kana","first_name_kana","name_ja","nick","birthday","team","class","family_name_en","first_name_en","graduate_date"
"千葉","いわさ","みさき","岩佐美咲","わさみん","1995-01-30","A",7,"iwasa","misaki",
"埼玉","おおた","あいか","多田愛佳","らぶたん","1994-12-08","A",3,"ota","aika",
"福岡","おおや","しづか","大家志津香","しいちゃん","1991-12-28","A",4,"oya","shiduka",
"愛知","かたやま","はるか","片山陽加","はーちゃん","1990-05-10","A",3,"katayama","haruka",
"神奈川","くらもち","あすか","倉持明日香","もっちぃ","1989-09-11","A",4,"kuramochi","asuka",
"埼玉","こじま","はるな","小嶋陽菜","こじはる","1988-04-19","A",1,"kojima","haruna",
"大分","さしはら","りの","指原莉乃","さっしー","1992-11-21","A",5,"sashihara","rino",
"福岡","しのだ","まりこ","篠田麻里子","まりこ","1986-03-11","A",1.5,"shinoda","mariko",
"東京","たかじょう","あき","高城亜樹","あきちゃ","1991-10-03","A",6,"takajou","aki",
"東京","たかはし","みなみ","高橋みなみ","たかみな","1991-04-08","A",1,"takahashi","minami",
"東京","なかがわ","はるか","仲川遥香","はるごん","1992-02-10","A",3,"nakagawa","haruka",
"埼玉","なかた","ちさと","中田ちさと","ちぃちゃん","1990-10-08","A",4,"nakata","chisato",
"岩手","なかや","さやか","仲谷明香","なかやん","1991-10-15","A",3,"nakaya","sayaka",
"千葉","まえだ","あつこ","前田敦子","あっちゃん","1991-07-10","A",1,"maeda","atsuko",
"東京","まえだ","あみ","前田亜美","あーみん","1995-06-01","A",7,"maeda","ami",
"福岡","まつばら","なつみ","松原夏海","なっつみぃ","1990-06-19","A",2,"matsubara","natsumi",
"千葉","あきもと","さやか","秋元才加","さやか","1988-07-26","K",2,"akimoto","sayaka",
"大阪","いたの","ともみ","板野友美","ともちん","1991-07-03","K",1,"itano","tomomi",
"東京","うちだ","まゆみ","内田眞由美","ウッチー","1993-12-27","K",5,"uchida","mayumi",
"福岡","うめだ","あやか","梅田彩佳","うめちゃん","1989-01-03","K",2,"umeda","ayaka",
"栃木","おおしま","ゆうこ","大島優子","ゆうこ","1988-10-17","K",2,"oshima","yuko",
"東京","きくち","あやか","菊地あやか","あやりん","1993-06-30","K",7,"kikuchi","ayaka",
"滋賀","たなべ","みく","田名部生来","たなみん","1992-12-02","K",3,"tanabe","miku",
"埼玉","なかつか","ともみ","中塚智実","ともちゃん","1993-06-18","K",5,"nakatsuka","tomomi",
"東京","にとう","もえの","仁藤萌乃","もえの","1992-07-22","K",5,"nitou","moeno",
"福岡","のなか","みさと","野中美郷","みちゃ","1991-04-20","K",6,"nonaka","misato",
"千葉","ふじえ","れいな","藤江れいな","れいにゃん","1994-02-01","K",4,"fujie","reina",
